RANK,,NAME,OPPONENT,RECORD,WEIGHTCLASS,
–,,Andrei Arlovski,,19–15,HW,
2,,Derrick Lewis,,16–5,HW,
–,,Gian Villante*,,10–11,HW,
1,,Stipe Miocic,,14–4,HW,
–,,Alexander Gustafsson,,10–7,HW,
–,,Ben Rothwell,Philipe Lins,8–7,HW,
8,,Walt Harris,Marcin Tybura,6–8 (1 NC),HW,
15,,Oleksiy Oliynyk,,8–6,HW,
C.,,Francis Ngannou,,11–2,HW,
3,,Curtis Blaydes,,9–3 (1 NC),HW,
11,,Marcin Tybura,Walt Harris,8–5,HW,
–,,Ilir Latifi,Tanner Boser,7–6,HW,
–,,Marcos Rogerio de Lima*,Maurice Greene,6–6,HW,
5,,Alexander Volkov,,7–2,HW,
7,,Shamil Abdurahimov,Augusto Sakai,5–3,HW,
–,,Tai Tuivasa,,5–3,HW,
–,,Greg Hardy,,4–3 (1 NC),HW,
–,,Jake Collier,Carlos Felipe - UFC 263,4–4,HW,
–,,Chase Sherman,Parker Porter - UFC Vegas 24,3–5,HW,
6,,Jairzinho Rozenstruik,,5–2,HW,
–,,Maurice Greene,Marcos Rogerio de Lima,4–3,HW,
4,,Ciryl Gane,,5–0,HW,
9,,Augusto Sakai,Shamil Abdurahimov,4–1,HW,
–,,Tanner Boser,Ilir Latifi,3–2,HW,
–,,Sergey Spivak,,3–2,HW,
12,,Blagoy Ivanov,Injury,2–3,HW,
13,,Tom Aspinall,,3–0,HW,
10,,Chris Daukaus,,3–0,HW,
–,,Carlos Felipe,Jake Collier - UFC 263,2–1,HW,
14,,Sergey Pavlovich,Injury,2–1,HW,
–,,Yorgan De Castro,Jarjis Danho - UFC Vegas 23,1–2,HW,
–,,Don'Tale Mayes,,1–2,HW,
–,,Justin Tafa,Jared Vanderaa,1–2,HW,
–,,Juan Espino,Alexander Romanov - UFC Vegas 24,2–0,HW,
–,,Alexander Romanov,Juan Espino - UFC Vegas 24,2–0,HW,
–,,Rodrigo Nascimento,Alan Baudot,1–1,HW,
–,,Parker Porter,Chase Sherman - UFC Vegas 24,1–1,HW,
–,,Jarjis Danho,Yorgan De Castro - UFC Vegas 23,0–1–1,HW,
–,,Philipe Lins,Ben Rothwell,0–2,HW,
–,,Roque Martinez,Josh Parisian,0–2,HW,
–,,Alan Baudot,Rodrigo Nascimento,0–1,HW,
–,,Harry Hunsucker,,0–1,HW,
